id,teks,emosi
504,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya berdampak pada sektor keuangan,negatif
505,Bursa saham merespons pelantikan Menteri Keuangan baru,negatif
506,Momen Pak menepuk pundak Menkeu Purbaya dan Menhut Raja Juli saat penyerahan dana korupsi penyalahgunaan wewenang pemanfaatan hutan oleh Kejaksaan kepada negara 2 institusi yg dinilai berjasa selain Kejaksaan Agung tentunya,negatif
507,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat,negatif
508,Nonton sambil membayangkan menteri keuangan baru yg songong itu diperlakukan gini sm demonstran,negatif
509,Pernyataan Menteri Keuangan baru terkait alasan penunjukannya,negatif
510,Menteri Keuangan Purbaya Yudhi Sadewa tengah dibuat kesal oleh laporan masyarakat yang menyebut ada seorang pegawai Bea dan Cukai kedapatan nongkrong di salah satu kafe ternama saat jam kerja Laporan tersebut datang melalui kanal pengaduan Lapor Pak Purbaya yang baru 2 hari,negatif
511,Pengamat Penundaan Transfer DAU Efek Pergantian Menteri Keuangan,negatif
512,Efek kebijakan Menteri Keuangan baru terhadap sistem pajak,negatif
513,Menkeu Purbaya Yudhi Sadewa resmi menerbitkan aturan baru yang mengawasi kepatuhan wajib pajak dalam PMK Nomor 111 Tahun 2025 Baca detailnya di sini,negatif
514,Sri Mulyani direshuffle diganti Sri Lanka,negatif
515,Dari sekian banyak menteri yg benar2 pilihan pak Prabowo hanya pak Purbaya menteri keuangan kita Menteri2 kabinet ini sebagai besar titipan dari pemimpin terdahulu,negatif
516,Presiden Erdogan menunjuk Menteri Keuangan Baru di tengah krisis keuangan,negatif
517,Isu reshuffle kabinet kembali mencuat termasuk kemungkinan pergantian Menteri Keuangan,negatif
518,Euforia Sesaat Sri Mulyani Diganti Saham Rokok Pagi Ini Terkapar,negatif
519,Pasar saham bereaksi negatif terhadap Menteri Keuangan baru,negatif
520,Duj Menteri Keuangan Bu Sri Mulyani diganti Pertanda kuat Timnas gak bakalan lolos Piala Dunia 2026 neh,negatif
521,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisi,negatif
522,Kebijakan impor dibahas kembali oleh Kementerian Keuangan,negatif
523,Demo BEM UI di DPR desak Purbaya Yudhi Sadewa dicopot dari Menteri Keuangan Baru beberapa hari jadi Menkeu mengganti Sri Mulyani sudah banyak drama bacot dan anaknya juga ikut ikutan Ada yg tidak beres nih attitudenya,negatif
524,Harapan publik agar Menteri Keuangan baru bekerja nyata,positif
525,Sebaiknya pak purbaya jd menteri keuangan dan perdagangan agar tdk ada permainan kotor di kedua institusi negara yg paling dasar dan dibutuhkan rakyat,positif
526,Sederet Pekerjaan Rumah untuk Menteri Keuangan Baru Purbaya Yudhi Sadewa gt Purbaya punya prestasi apa di LPS yang berkaitan dengan Pembenahan Ekonomi amp Keuangan gt Apa yang bisa di harapkan dari dia untuk lakukan Pembenahan Ekonomi dan Keuangan,positif
527,Serah terima jabatan Sri Mulyani kepada Menteri Keuangan baru,negatif
528,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya Yudhi Sadewa dipastikan tidak akan mengganggu rencana program kredit usaha rakyat bidang perumahan,negatif
529,Serah terima jabatan Sri Mulyani kepada Menteri Keuangan baru,negatif
530,Video Terpopuler Sepekan Sri Mulyani Diganti Purbaya hingga Banjir Bandang Bali,negatif
531,Luhut buka suara terkait isu pergantian Menteri Keuangan,negatif
532,Gila efek Sri Mulyani diganti sampe Aramco anjlok,negatif
533,Kementerian Keuangan tengah menyiapkan peraturan menteri keuangan baru yang mengatur tentang penerapan prinsip kewajaran dan kelaziman usaha PKKU atau arm s length principle ALP,negatif
534,Menteri Keuangan Sri Mulyani berharap makin banyak investor yang tertarik untuk membiayai pemensiunan dini PLTU batu bara,positif
535,Cuman akun Kemenkeu yg posting positif pergantian menteri keuangan,positif
536,Kedua Orang Sosok Menteri ini Lagi Menyala dan Mendapat Tempat di Hati Masyarakat Menkeu Purbaya amp Seskab Teddy Disambut Teriakan Histeris di Puncak Hari Guru 2025,negatif
537,Fokus Presiden Kabar Pergantian Menteri Keuangan adalah Politik Fiksi,negatif
538,sri mulyani diganti ya wkwk,negatif
539,Istana belum mau menyinggung isu pergantian Menteri Keuangan,negatif
540,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisik,negatif
541,Menteri Keuangan Purbaya Yudhi Sadewa menegur keras pegawai pajak di KPP Tigaraksa yang melakukan penagihan ke rumah wajib pajak pada pukul 05 41 WIB Aksi tersebut dilaporkan melalui kanal pengaduan resmi Lapor Pak Purbaya dan disebut sebagai bentuk premanisme Purbaya,negatif
542,Publik menyoroti gaya komunikasi Menteri Keuangan baru,negatif
543,Salah satu alasan utama yang mendorong Sri Mulyani untuk mundur adalah tragedi penjarahan rumahnya di kawasan Bintaro Peristiwa itu disebut membuat dirinya begitu terpukul Terimakasih amp Sehat selalu bu Sri Mulyani,negatif
544,Iki sik salah satu utama ditunggu pasar kepercayaan pasar thd kredibilitas sosok calon menkeu sangat berpengaruh,positif
545,WADUH Rupiah Diramal Kebakaran Gara Gara Sri Mulyani Diganti,negatif
546,PR dan Ujian Semester Pendek bagi Menteri Keuangan Baru Membangun Keuangan Negara Berbasis GRC Baca selengkapnya di sini,negatif
547,Menteri keuangan Mau nyaingin pak Purbaya,negatif
548,Pengamat menilai penundaan transfer dana akibat pergantian Menteri Keuangan,negatif
549,Sri Mulyani ini harus segera diganti dan diperiksa bisa jadi dari sini awal mula Petaka Skandal Keuangan di Republik ini mas Broo,negatif
550,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat,negatif
551,Pergantian Menteri Keuangan Sri Mulyani disebut sebagai solusi saling menguntungkan,negatif
552,Pegawai Kemenkeu ber pura pura sedih Sri Mulyani mundur Ya karena udah dikasih kenaikan 300,negatif
553,Pasar modal bereaksi negatif terhadap pergantian Menteri Keuangan,negatif
554,Pernyataan Menteri Keuangan baru terkait alasan penunjukannya,negatif
555,Silsilah keluarga Menteri Keuangan baru dibahas publik,negatif
556,Kritik publik terhadap kebijakan Menteri Keuangan baru,negatif
557,Menteri Keuangan Purbaya Yudhi Sadewa membacakan sejumlah laporan masyarakat yang masuk lewat kanal Lapor Pak Purbaya Selengkapnya di video berikut ini,negatif
558,Netizen menyoroti gaya komunikasi Menteri Keuangan baru,negatif
559,sri mulyani diganti ama sri rejeki,negatif
560,Itu menteri keuangan baru bisa ganti ga baju batiknya aku mau nonton berita terkecoh kirain video video lama semua,negatif
561,Bayangin sri mulyani mundur karena ini,negatif
562,Menteri Keuangan baru berjanji menjaga stabilitas fiskal,positif
563,sri mulyani diganti srimulat,negatif
564,Pergantian Menteri Keuangan menjadi sorotan utama dalam reshuffle kabinet,negatif
565,Publik menyoroti gaya komunikasi Menteri Keuangan baru,negatif
566,Aku deg²kan Ketika Sri Mulyani diganti,negatif
567,Nasehat tokoh publik kepada Menteri Keuangan baru,negatif
568,Rill Baru bbrp hari lalu bahas sm ibu kos kalo bu sri mulyani diganti siapa yang bisa gantiin Kejadian benerann,negatif
569,Sri Mulyani Mundur dari Kementerian Keuangan Ini Jawaban Mensesneg,negatif
570,YA ALLAH MAU KAYA PAK PURBAYA MAU KERJA DI MENTERI KEUANGAN,negatif
571,Menkeu Purbaya Heran Serangan AS ke Venezuela Lolos Pantauan PBB,negatif
572,Dukungan publik terhadap Menteri Keuangan baru,positif
573,Loh kok dua kali jd menteri keuangan baru melakukan efisiensi Padahal stiap anggaran kementrian amp lmbaga negara di ajukan dulu Kemenkeu amp dianalisa sbelum di ajukan ke Banggar DPR kira2 pengajuan anggarannya benar ato cuma anggaran ngabisin duit negara He he,negatif
574,Menteri Keuangan baru menyampaikan permintaan maaf kepada publik,negatif
575,Loh kenapaaaa takut yaa sama bapak menteri keuangan baru pdhl bapak ini baik niatnya,negatif
576,hah beneran kah sri mulyani diganti,negatif
577,Purbaya Yudhi Sadewa resmi menjabat sebagai menteri keuangan setelah dilakukan serah terima jabatan dari Sri Mulyani yang berlangsung di gd kementerian keuangan jakarta Pergantian menteri keuangan mendapat respon luas di masyarakat terutama para pelaku usaha dan pasar bagaimana,negatif
578,loh menteri keuangan baru ternyata kakak kelas gw,negatif
579,Serah terima jabatan Sri Mulyani kepada Menteri Keuangan baru,negatif
580,saya dukung menteri keuangan pak purbaya,positif
581,Pergantian Menteri Keuangan diharapkan membawa arah baru kebijakan ekonomi nasional,positif
582,SAYANG JIKA TIDAK DI DUKUNG Menkeu Purbaya mengungkapkan Direktorat Jenderal Bea Cukai terancam dibekukan karena kinerja yang kurang memuaskan di mata pimpinan tertinggi negara hingga masyarakat Purbaya sudah meminta waktu untuk membenahi Bea Cukai selama 1 tahun kepada,positif
583,Sebaiknya pak purbaya jd menteri keuangan dan perdagangan agar tdk ada permainan kotor di kedua institusi negara yg paling dasar dan dibutuhkan rakyat,positif
584,Gebrakan lanjutan Menteri Keuangan baru terus disorot,positif
585,Isu korupsi dikaitkan dengan kebijakan Menteri Keuangan baru,negatif
586,Tolong tag menteri keuangan baru,negatif
587,Dukungan menteri keuangan pak Purbaya jangan mau bayar hutang kereta cepat itu,positif
588,Sederet Pekerjaan Rumah untuk Menteri Keuangan Baru Purbaya Yudhi Sadewa gt Purbaya punya prestasi apa di LPS yang berkaitan dengan Pembenahan Ekonomi amp Keuangan gt Apa yang bisa di harapkan dari dia untuk lakukan Pembenahan Ekonomi dan Keuangan,positif
589,PURBAYA DILAWAN Menteri Keuangan Menkeu Purbaya Yudhi Sadewa merespons pernyataan anggota Komisi XI DPR RI Kardaya Warnika terkait fenomena banyaknya WNI yang bekerja ke luar negeri Purbaya tidak sependapat dengan pernyataan Kardaya yang menyatakan pemerintah harus mendukung,positif
590,Silsilah Keluarga Hashanti Djojohadikusumo Seperti Apa Disebut Sebagai Ibu dari Purbaya Yudhi Sadewa Menteri Keuangan Baru,negatif
591,Menteri Keuangan baru menggantikam Sri Mulyani nih,negatif
592,Teka teki Menteri Keuangan Baru Setelah Pertemuan Prabowo dan Sri Mulyani,negatif
593,Presiden menepis kabar pergantian Menteri Keuangan,negatif
594,Pasar modal bereaksi negatif terhadap pergantian Menteri Keuangan,negatif
595,Sri Mulyani ini harus segera diganti dan diperiksa bisa jadi dari sini awal mula Petaka Skandal Keuangan di Republik ini mas Broo,negatif
596,Sangat setuju dg Pak Purbaya Menteri keuangan bea cukai itu ladang basah tempat para mafia pelabuhan melakukan korupsi sejak era orde baru sampai saat ini Orang orang bea cukai gak ada yg hidupnya miskin,negatif
597,Tantangan besar menanti Menteri Keuangan baru,negatif
598,menteri keuangan baru nyenggol korupsi BI langsung di cut omongannya something fishy here gila gila gila apakah selama ini kue nya dari BI,negatif
599,Dukungan menteri keuangan pak Purbaya jangan mau bayar hutang kereta cepat itu,positif
600,Demo BEM UI di DPR desak Purbaya Yudhi Sadewa dicopot dari Menteri Keuangan Baru beberapa hari jadi Menkeu mengganti Sri Mulyani sudah banyak drama bacot dan anaknya juga ikut ikutan Ada yg tidak beres nih attitudenya,negatif
601,Respons akademisi terhadap pergantian Menteri Keuangan semakin menguat,negatif
602,Bu Sri Mulyani diganti mari saatnya kita semua khawatirrrrr,negatif
603,Sterling Mengkonsolidasikan Keuntungan setelah Pergantian Menteri Keuangan readmore,negatif
604,Sri Mulyani Akan Mengajar di Universitas Oxford Usai Diganti Purbaya,negatif
605,Siitaan Kejagung yg berhasil dikembalikan ke negara bakal berdampak besar Presiden Prabowo punya ide konkret bangun kembali rumah warga terdampak bencana Menkeu Purbaya juga menegaskan sitaan ini menambah kekuatan APBN RI Kalau RUU Perampasan Aset disahkan Beuh negara,negatif
606,Sri Mulyani Mundur Kenapa,negatif
607,Isu reshuffle kabinet kembali mencuat termasuk kemungkinan pergantian Menteri Keuangan,negatif
608,Sterling mengkonsolidasikan keuntungan setelah pergantian Menteri Keuangan,negatif
609,Ternyata gerhana bulan blood moon memang berpengaruh ke IHSG Bulannya merah ihsgnya merah Masalah katanya karenaibu sri mulyani diganti itu cuma jadi katalis aja agar terjadi,negatif
610,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya berdampak pada sektor keuangan,negatif
611,Pergantian Menteri Keuangan dari Sri Mulyani ke Purbaya menimbulkan pertanyaan apakah akan berdampak pada pendanaan pendidikan atau tetap sejalan dengan kebijakan fiskal sebelumnya Simak selengkapnya dalam video berikut,negatif
612,AutoTweet Rupiah Kembali Loyo di Akhir Pekan Dipengaruhi oleh pergantian Menteri Keuangan dan rencana kenai,negatif
613,Profil lengkap Menteri Keuangan baru diperkenalkan,negatif
614,Mengapa Sri Mulyani Diganti Misteri di Balik Reshuffle Menteri Keuangan,negatif
615,Serba Dadakan di Balik Pergantian Menteri Keuangan,negatif
616,Bayangin sri mulyani mundur karena ini,negatif
617,Kontroversi unggahan keluarga Menteri Keuangan baru,negatif
618,Isu pergantian Menteri Keuangan Mekeu Sri Mulyani berhembus kencang Namun Menko Perekonomian Hatta Rajasa menam,negatif
619,Kontroversi keluarga Menteri Keuangan baru kembali mencuat,negatif
620,Presiden Prabowo memerintahkan kpd Menkeu Purbaya utk mengaudit Dana Desa Sip lah Gasss jangan pake rem,negatif
621,Ekonom menantikan gebrakan fiskal Menteri Keuangan baru,positif
622,Pegawai Pajak Nakal Tenang Sekarang Bisa Lapor Langsung ke Pak Purbaya Menteri Keuangan Purbaya Yudhi Sadewa baru aja merilis layanan Lapor Pak Purbaya kanal resmi via WhatsApp 0822 4040 6600 untuk menampung aduan masyarakat terkait pajak dan bea cukai,negatif
623,Presiden Prabowo melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru Berikut profilnya Via,negatif
624,Bu Sri Mulyani diganti mari saatnya kita semua khawatirrrrr,negatif
625,demi Allah gua takut ini soal sri mulyani diganti gimana kalo jadi lebih buruk like i do hate her tapi GUA TAKUT ANJIR,negatif
626,Fokus Presiden Kabar Pergantian Menteri Keuangan adalah Politik Fiksi,negatif
627,Presiden terpilih Prabowo Subianto diam diam sudah mengantongi nama Menteri Keuangan baru Siapa ya kira kira,negatif
628,Isu pergantian Menteri Keuangan Sri Mulyani disebut seribu persen tidak benar,negatif
629,lagi hobi apa lagi hobi ntnin menteri keuangan pak purbaya seumur2 baru kali ini suka ntnin menteri sampe di cariin tiap hari di utube se SERU itu di tontonin im shock myself too lol,negatif
630,Komentar singkat publik mengenai gaya Menteri Keuangan baru,negatif
631,Sri mulyani diganti bendaharaku pas SMK aja,negatif
632,sri mulyani diganti kah,negatif
633,Pernyataan Menteri Keuangan baru terkait tuntutan rakyat,negatif
634,Sri Mulyani diganti baek2 dah Indonesia,negatif
635,Menteri keuangan baru apa kagak mau nih di pangkas jugaa dana beginian,negatif
636,Siapa yang baru tau ada uang sebesar Rp 60 triliun yg diambil dari budget rapat rapat gak jelas saat Pak Purbaya jadi Menkeu Kocak banget si ini duit rakyat dipake buat rapat gak jelas segitu gedenya,negatif
637,Cek Fakta Tidak Benar Ini Video Menteri Keuangan Sri Mulyani Mundur dari Kabinet,negatif
638,Ternyata utk menutupi tak ada perubahan pergantian menteri keuangan Purbaya sll menampilkan Gimmic2 Belaka,negatif
639,Pergantian Menteri Keuangan menjadi sorotan utama dalam reshuffle kabinet,negatif
640,Pas di cek menteri keuangan baru lulusan teknik elektro,negatif
641,Pasar saham bereaksi negatif terhadap Menteri Keuangan baru,negatif
642,sri mulyani diganti ama sri rejeki,negatif
643,Momen perpisahan resmi Sri Mulyani di Kementerian Keuangan,negatif
644,Masalah yang Ditinggalkan Sri Mulyani dan Harus Dibereskan Menteri Keuangan Baru Purbaya Yudhi Sadewa di Industri Tembakau Sebuah utas,negatif
645,sri mulyani beneran mundur ga si,negatif
646,Netizen menyoroti gaya komunikasi Menteri Keuangan baru,negatif
647,Isu korupsi dikaitkan dengan kebijakan Menteri Keuangan baru,negatif
648,Cuman akun Kemenkeu yg posting positif pergantian menteri keuangan,positif
649,Ternyata pak Purbaya menteri keuangan mengkoleksi keris di majalah masih ketua LPS karena majalah infobank ini keluar bulan Agustus 2025,negatif
650,Presiden Prabowo Reshuffle Kabinet Merah Putih amp Legalisasi Kementerian Haji dan Umrah Menteri Keuangan Sri Mulyani diganti Purbaya Yudhi Sadewo Yg diganti a Menko Polkam Budi Gunawan b Menteri Perlindungan PMI Karding c Menkop Budi Arie d Menpora Dito Ariotedjo Raja Juli,negatif
651,Loh kenapaaaa takut yaa sama bapak menteri keuangan baru pdhl bapak ini baik niatnya,negatif
652,Hallo sobat Laporpajak Ribuan aduan wajib pajak masuk ke kanal Lapor Pak Purbaya Menteri Keuangan berjanji menindak tegas oknum fiskus yang tidak profesional,negatif
653,Netizen membahas blunder awal Menteri Keuangan baru,negatif
654,Pengamat menyarankan pergantian Menteri Keuangan dilakukan setelah 2026,negatif
655,Menteri Keuangan Purbaya Yudhi Sadewa memastikan dirinya akan turun langsung memantau proses penanganan aduan masyarakat yang masuk melalui kanal WhatsApp Lapor Pak Purbaya Langkah ini dilakukan untuk memastikan setiap laporan benar benar ditindaklanjuti oleh jajaran Kemenkeu,negatif
656,Sindiran publik terhadap kinerja awal Menteri Keuangan baru,negatif
657,Menteri Keuangan Baru Diyakini Mampu Bantu Prabowo Kelola Keuangan Negara,negatif
658,Sri Mulyani Akan Mengajar di Universitas Oxford Usai Diganti Purbaya,negatif
659,Pengamat menilai penundaan transfer dana akibat pergantian Menteri Keuangan,negatif
660,Udh seneng sri mulyani diganti eh penggantinya begini,negatif
661,Respons akademisi terhadap pergantian Menteri Keuangan semakin menguat,negatif
662,Harapan DPR terhadap kinerja Menteri Keuangan baru,positif
663,Nasehat IB HRS untuk menteri keuangan baru,negatif
664,Mengapa Sri Mulyani Diganti Misteri di Balik Reshuffle Menteri Keuangan,negatif
665,Pergantian Menteri Keuangan dinilai berdampak signifikan pada sektor keuangan,negatif
666,Presiden Prabowo melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru Berikut profilnya Via,negatif
667,Presiden terpilih Prabowo Subianto diam diam sudah mengantongi nama Menteri Keuangan baru Siapa ya kira kira,negatif
668,Budi buluk cengel apa dapet ingfoA1 dekat2 ini kalau sri Mulyani diganti kan Penggantinya ngeri nga buos,negatif
669,Cerita d Balik Sri Mulyani Mundur,negatif
670,Publik menyoroti gaya komunikasi Menteri Keuangan baru,negatif
671,China Tunjuk Menteri Keuangan Baru Atasi Problem Utang Pemda,negatif
672,Pernyataan Menteri Keuangan baru terkait tuntutan rakyat,negatif
673,Presiden Prabowo melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru Berikut profilnya Via,negatif
674,Teka teki Menteri Keuangan Baru Setelah Pertemuan Prabowo dan Sri Mulyani,negatif
675,Ini Alasan DPR Minta Tambahan Calon Gubernur BI Pergantian Menteri Keuangan dinilai akan mempengaruhi perekon,negatif
676,Page 262 of 365 Dari pergantian Menteri Keuangan kita belajar bahwa Cewek kalo punya duit banyak ditabung Cowok kalo punya duit banyak All In,negatif
677,Menkeu sri mulyani diganti bapak bapak yang kata netizen bicaranya petentang petenteng,negatif
678,wow sri mulyani diganti,negatif
679,Ternyata Bu Sri Mulyani bisa diganti juga,negatif
680,Rupiah Melemah Dipengaruhi Pergantian Menteri Keuangan,negatif
681,Sterling mengkonsolidasikan keuntungan setelah pergantian Menteri Keuangan,negatif
682,STOP SCROLLING Waktunya spill berita berita paling viral minggu ini Ini dia highlight nya Kasus keracunan MBG Penyitaan buku yang jadi kontroversi Pegawai Shell kok pada jualan kopi Menteri keuangan baru dengan gebrakan gebrakan barunya,positif
683,Purbaya Yudhi Sadewa ditunjuk Presiden Prabowo sebagai Menteri Keuangan baru untuk menggantikan Sri Mulyani,negatif
684,konom Ingatkan Dampak Risiko Rupiah dan IHSG Jika Sri Mulyani Mundur,negatif
685,Menteri Keuangan Purbaya Luncurkan Layanan Aduan Lapor Pak Purbaya Lewat WhatsApp,negatif
686,Bu Sri Mulyani Mundur Sepertinya ini masa gelap Prabowo Bu Sri kecewa berat ketika rumahnya di jarah Sebenernya Prabowo sudah jatuh Bendahara negara tidak dilindungi negara Di mata internasional buruk sekali Apalagi tidak ada SMI sstt BG diganti Dalang rusuh,negatif
687,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisi,negatif
688,Breaking news Ada rencana pergantian kabinet atau reshuffle Yang diganti dalah satunya Menteri Keuangan Sri Mulyani Indrawati Sumber,negatif
689,Sri Mulyani diganti baek2 dah Indonesia,negatif
690,Klarifikasi cepat Menteri Keuangan baru di hari pertama,negatif
691,Pergantian menteri keuangan adalah pengalihan isu penempatan Seperti cebongan dan hambalang Sekian,negatif
692,Menteri Keuangan Purbaya Luncurkan Layanan Aduan Lapor Pak Purbaya Lewat WhatsApp,negatif
693,demi Allah gua takut ini soal sri mulyani diganti gimana kalo jadi lebih buruk like i do hate her tapi GUA TAKUT ANJIR,negatif
694,Baiknya mundur sih bu Anda bukan orang yg tepat buat jalan ekonomi yg dipilih presiden Ngga perlu khawatir akan dikriminalisasi Prabowo ngga sepicik itu Hasto aja diberi amnesti Airlangga Bantah Sri Mulyani Mundur dari Kabinet Prabowo,negatif
695,hah beneran kah sri mulyani diganti,negatif
696,Pergantian Menteri Keuangan Sri Mulyani disebut sebagai solusi saling menguntungkan,negatif
697,Bisa kan pak Purbaya sebagai menteri keuangan stop anggaran nya untuk beli gas air mata Buat Polri,negatif
698,Serah terima jabatan Sri Mulyani kepada Menteri Keuangan baru,negatif
699,Pengumuman kabinet Indonesia Bersatu II juga mencakup pergantian Menteri Keuangan,negatif
700,Gerindra Bantah Isu Pergantian Menteri Keuangan Sri Mulyani,negatif
701,Isu pergantian Menteri Keuangan Sri Mulyani kembali berhembus kencang,negatif
702,Gebrakan lanjutan Menteri Keuangan baru kembali disorot,positif
703,Presiden Prabowo melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan baru Berikut profilnya Via,negatif
704,Sederet Pekerjaan Rumah untuk Menteri Keuangan Baru Purbaya Yudhi Sadewa gt Purbaya punya prestasi apa di LPS yang berkaitan dengan Pembenahan Ekonomi amp Keuangan gt Apa yang bisa di harapkan dari dia untuk lakukan Pembenahan Ekonomi dan Keuangan,positif
705,Thread Kontroversi Menteri Keuangan Baru Purbaya Yudi Sadewo,negatif
706,Analisis publik terhadap figur Menteri Keuangan baru,negatif
707,IHSG sempat tertekan setelah kabar pergantian Menteri Keuangan,negatif
708,Menteri Keuangan Purbaya Yudhi Sadewa memastikan dirinya akan turun langsung memantau proses penanganan aduan masyarakat yang masuk melalui kanal WhatsApp Lapor Pak Purbaya Langkah ini dilakukan untuk memastikan setiap laporan benar benar ditindaklanjuti oleh jajaran Kemenkeu,negatif
709,Serah terima jabatan Sri Mulyani kepada Menteri Keuangan baru,negatif
710,Menteri Keuangan Sri Mulyani dikabarkan mundur dari jabatannya di kabinet Benarkah egini faktanya menurut Airlangga Hartarto,negatif
711,Hasyim Sebut Sri Mulyani Dijadikan Kambing Hitam Beliau Mundur Karena Negara Tak Melindungi,negatif
712,Harapan DPR terhadap kinerja Menteri Keuangan baru,positif
713,Ebuseeeeeettt anak menteri keuangan baru,negatif
714,Pak Purbaya menggantikan bu Sri Mulyani sebagai Menteri Keuangan,negatif
715,Pengamat menyarankan pergantian Menteri Keuangan dilakukan setelah 2026,negatif
716,Luar biasa untuk Indonesia Di video kali ini beliau adalah Menteri keuangan Baru Indonesia Ada Kata kata Dari Menkeu Bahwa Itu Adalah Sinyal Baik Untuk Semua Pionir Tunggu apalagi Kode Sudah Di sampaikan langsung Dari Menteri keuangan yg baru Di mana Arah uang,positif
717,Gebrakan lanjutan Menteri Keuangan baru terus disorot,positif
718,Kritik publik terhadap efisiensi anggaran oleh Menteri Keuangan baru,negatif
719,Pergantian Menteri Keuangan dan reshuffle kabinet mengguncang pasar keuangan Bagaimana pengelolaan fiskal oleh menteri baru,negatif
720,Harga surat utang negara RI naik setelah Menteri Keuangan Purbaya Yudhi Sadewa memberi sinyal pengurangan penarikan utang APBN 2025 yang mendorong investor berburu obligasi dan menekan yield semua tenor Simak selengkapnya,negatif
721,Indef Agus Marto Tak Cocok di Bank Indonesia pergantian Menteri Keuangan sangat berisiko dalam kondisi perek,negatif
722,Thread Kontroversi Menteri Keuangan Baru Purbaya Yudi Sadewo,negatif
723,Kedua Orang Sosok Menteri ini Lagi Menyala dan Mendapat Tempat di Hati Masyarakat Menkeu Purbaya amp Seskab Teddy Disambut Teriakan Histeris di Puncak Hari Guru 2025,negatif
724,Tuh menteri Keuangan baru didik anak aja ga bisa wo ko suruh urus keuangan negara yang sifatnya vital bagi kelangsungan negara ini Dari srimulyani ke purbaya Ini mah ibarat dalam sepakbola POSISI KIPER DARI DE GEA DIGANTI ONANA,negatif
725,Ternyata utk menutupi tak ada perubahan pergantian menteri keuangan Purbaya sll menampilkan Gimmic2 Belaka,negatif
726,Istana Belum Mau Singgung Pergantian Menteri Keuangan,negatif
727,Publik menilai Menteri Keuangan baru tidak perlu takut kritik,negatif
728,Menkeu Purbaya berjanji tidak akan melanjutkan mekanisme burden sharing antara Pemerintah dan Bank Indonesia Purbaya beralasan kebijakan tersebut menurunkan kepercayaan pasar serta berpotensi merusak kredibilitas Pemerintah dan independensi BI,positif
729,Pergantian Menteri Keuangan mengguncang pasar keuangan dan nilai tukar rupiah,negatif
730,Rupiah Melemah Dipengaruhi Pergantian Menteri Keuangan,negatif
731,Cerita d Balik Sri Mulyani Mundur,negatif
732,Profil lengkap Menteri Keuangan baru diperkenalkan,negatif
733,Ebuseeeeeettt anak menteri keuangan baru,negatif
734,Menyala menteri keuangan baru tapi bener juga sih,negatif
735,Sri Mulyani Mundur atau Dicopot,negatif
736,Harga surat utang negara RI naik setelah Menteri Keuangan Purbaya Yudhi Sadewa memberi sinyal pengurangan penarikan utang APBN 2025 yang mendorong investor berburu obligasi dan menekan yield semua tenor Simak selengkapnya,negatif
737,Editorial media menyoroti ekonomi di bawah Menteri Keuangan baru,negatif
738,Budi buluk cengel apa dapet ingfoA1 dekat2 ini kalau sri Mulyani diganti kan Penggantinya ngeri nga buos,negatif
739,lagi hobi apa lagi hobi ntnin menteri keuangan pak purbaya seumur2 baru kali ini suka ntnin menteri sampe di cariin tiap hari di utube se SERU itu di tontonin im shock myself too lol,negatif
740,Menkeu Purbaya Saya Ceritain Sedikit Rahasia Presiden Prabowo,negatif
741,Pergantian Menteri Keuangan dianggap membawa risiko besar bagi masyarakat,negatif
742,Konten viral membahas figur Menteri Keuangan baru,negatif
743,Sri Mulyani Mundur atau Dicopot,negatif
744,sri mulyani beneran mundur ga si,negatif
745,Sri Mulyani Mundur atau Dicopot,negatif
746,Publik menilai rekam jejak Menteri Keuangan baru positif,positif
747,Bayangin sri mulyani mundur karena ini,negatif
748,STOP SCROLLING Waktunya spill berita berita paling viral minggu ini Ini dia highlight nya Kasus keracunan MBG Penyitaan buku yang jadi kontroversi Pegawai Shell kok pada jualan kopi Menteri keuangan baru dengan gebrakan gebrakan barunya,positif
749,Sri Mulyani Mundur atau Dicopot,negatif
750,Aku deg²kan Ketika Sri Mulyani diganti,negatif
751,Pergantian Menteri Keuangan ke tangan Purbaya Yudhi Sadewa dalam reshuffle kabinet terbaru Presiden Prabowo Subianto memunculkan harapan baru Selengkapnya di,positif
752,Hai Kawan Prima Menteri Keuangan baru saja menerbitkan aturan baru tingkatkan fleksibelitas penyerahan SKA lho Penasaran dengan detailnya Yuk kita lihat infografisnya pada unggahan ini,negatif
753,Rill Baru bbrp hari lalu bahas sm ibu kos kalo bu sri mulyani diganti siapa yang bisa gantiin Kejadian benerann,negatif
754,Rupiah melemah akibat sentimen pergantian Menteri Keuangan,negatif
755,Mauuu saaweran dalam rangka menteri keuangan baru,negatif
